Model,Accuracy,Loss,F1 Score
MobileNet_Modified077,0.9988750219345093,0.007352664601057768,0.9988749998417968
MobileNet_Modified083,0.9987499713897705,0.004388009198009968,0.9987499987499988
MobileNet_Modified095,0.9986249804496765,0.00776297552511096,0.9986249999785157
MobileNet_Modified093,0.9986249804496765,0.008668535389006138,0.9986249998066407
MobileNet_Modified096,0.9984999895095825,0.007669858168810606,0.9984999999062499
MobileNet_Modified080,0.9984999895095825,0.009320887736976147,0.9984999996249999
MobileNet_Modified084,0.9983749985694885,0.008585422299802303,0.9983749999746094
MobileNet_Modified085,0.9983749985694885,0.008357801474630833,0.9983749993652341
MobileNet_Modified091,0.9983749985694885,0.009725748561322689,0.9983749979433568
MobileNet_Modified088,0.9982500076293945,0.009395014494657516,0.9982499995624998
MobileNet_Modified087,0.9981250166893005,0.008268036879599094,0.9981249976269501
MobileNet_Modified098,0.9981250166893005,0.00821669027209282,0.9981249976269501
MobileNet_Modified076,0.9980000257492065,0.01287899725139141,0.9979999994999998
MobileNet_Modified099,0.9980000257492065,0.009118014015257359,0.9979999988749994
MobileNet_Modified090,0.9980000257492065,0.012233695015311241,0.9979999968749951
MobileNet_Basic,0.9978749752044678,0.011108228005468845,0.9978749983730456
MobileNet_Modified081,0.9978749752044678,0.012220208533108234,0.9978749959824142
MobileNet_Modified075,0.9976249933242798,0.007937979884445667,0.9976249999628906
MobileNet_Modified092,0.9975000023841858,0.01287434995174408,0.9974999923437264
MobileNet_Modified089,0.9973750114440918,0.017010817304253578,0.9973749907714519
MobileNet_Modified082,0.9972500205039978,0.015854114666581154,0.997249988999956
MobileNet_Modified094,0.9971250295639038,0.013464962132275105,0.9971249898925425
MobileNet_Modified086,0.996749997138977,0.021023059263825417,0.996749986999948
MobileNet_Modified097,0.9965000152587891,0.013722473755478859,0.9964999822811603
MobileNet_Modified078,0.9956250190734863,0.019764266908168793,0.9956249572749735
MobileNet_Modified079,0.9867500066757202,0.06809865683317184,0.986747929363963
